time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/n_updates,train/entropy_loss,train/clip_range,train/learning_rate,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
44,1213,106,54272,1680,-42.36002171039581,0.2,0.0004092704424510632,-0.01747305877506733,0.2412109375,0.003704398935951758,0.021612385,-0.0031054019927978516,-0.02310547957313247,0.9521507024765015,-2.2213292325581393,1257.0
45,1213,107,54784,1696,-42.35333073139191,0.2,0.0004092704424510632,0.0690881758928299,0.2332763671875,0.21700299810618162,0.018500302,0.00021988153457641602,-0.025626532078604214,0.9506359696388245,-2.2213292325581393,1257.0
45,1213,108,55296,1712,-42.32216954231262,0.2,0.0004092704424510632,-0.022741757333278656,0.196044921875,0.0034772845538100228,0.01450121,-0.012133240699768066,-0.019320287654409185,0.9514124393463135,-2.2213292325581393,1257.0
46,1213,109,55808,1728,-42.321887135505676,0.2,0.0004092704424510632,-0.03880557790398598,0.2587890625,0.005155612438102253,0.025674906,0.00018966197967529297,-0.028794943005777895,0.9495809674263,-2.2226193409090906,1257.0
46,1212,110,56320,1744,-42.27155137062073,0.2,0.0004092704424510632,0.020006656646728516,0.3192138671875,0.10483838408254087,0.028768096,4.661083221435547e-05,-0.026645081903552637,0.9495866894721985,-2.2226193409090906,1257.0
46,1212,111,56832,1760,-42.284029722213745,0.2,0.0004092704424510632,-0.03745704144239426,0.19140625,0.004204894670692738,0.013557351,-0.00024831295013427734,-0.020146315218880773,0.9496275782585144,-2.220076333333333,1257.0
47,1212,112,57344,1776,-42.28800415992737,0.2,0.0004092704424510632,0.08407503366470337,0.236572265625,0.25189238879829645,0.019175064,6.341934204101562e-05,-0.024712938640732318,0.9500402212142944,-2.220076333333333,1257.0
47,1212,113,57856,1792,-42.28391194343567,0.2,0.0004092704424510632,-0.04218849539756775,0.2586669921875,0.0034718958268058486,0.021914415,-0.0028334856033325195,-0.025763272831682116,0.9494327902793884,-2.220523326086956,1257.0
48,1212,114,58368,1808,-42.27094602584839,0.2,0.0004092704424510632,0.09309855103492737,0.229248046875,0.2385955792851746,0.021721262,0.0001062154769897461,-0.021644559208652936,0.9490779042243958,-2.220523326086956,1257.0
48,1211,115,58880,1824,-42.25776135921478,0.2,0.0004092704424510632,-0.03933979570865631,0.2523193359375,0.004869497897743713,0.01981229,-0.149086594581604,-0.026582326492643915,0.948584258556366,-2.220523326086956,1257.0
