time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/clip_fraction,train/explained_variance,train/loss,train/value_loss,train/n_updates,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
96,1646,49152,29,0.1849365234375,-10.007259368896484,-0.03927511349320412,0.009035324394062627,1520,0.2,0.0004092704424510632,-0.020666694443207234,0.015349412,-42.6138778924942,0.9590461850166321,-2.9362752820512816,1257.0
97,1647,49664,30,0.22509765625,0.00899428129196167,0.06731916964054108,0.24226950434967875,1536,0.2,0.0004092704424510632,-0.02150331278971862,0.024474723,-42.62277114391327,0.9596276879310608,-2.9362752820512816,1257.0
98,1649,50176,30,0.2314453125,-1.0990283489227295,-0.035085529088974,0.018317428504815325,1552,0.2,0.0004092704424510632,-0.025995161646278575,0.015375592,-42.657410860061646,0.9616325497627258,-2.9362752820512816,1257.0
99,1649,50688,30,0.269775390625,-0.33454298973083496,-0.04385444521903992,0.0027643098583212122,1568,0.2,0.0004092704424510632,-0.029754273215075955,0.022700334,-42.71592080593109,0.9628309011459351,-2.9401266,1257.0
100,1651,51200,31,0.2236328125,0.08781272172927856,0.0008773840963840485,0.13286838703788817,1584,0.2,0.0004092704424510632,-0.023499541435739957,0.018373463,-42.7345449924469,0.962568461894989,-2.9401266,1257.0
101,1652,51712,31,0.2266845703125,-9.97502326965332,-0.04009869694709778,0.013491596371750347,1600,0.2,0.0004092704424510632,-0.023547861172119156,0.021805953,-42.71190702915192,0.9615592360496521,-2.93713743902439,1257.0
102,1653,52224,31,0.27294921875,0.037312090396881104,0.014622129499912262,0.14936424558982253,1616,0.2,0.0004092704424510632,-0.02553690089553129,0.02280597,-42.67301332950592,0.9601355195045471,-2.93713743902439,1257.0
103,1653,52736,31,0.2264404296875,-3.3868470191955566,-0.025184448808431625,0.011166912474436685,1632,0.2,0.0004092704424510632,-0.0236326577141881,0.016869504,-42.632169127464294,0.9591968655586243,-2.93713743902439,1257.0
104,1654,53248,32,0.2335205078125,0.022516608238220215,-0.03814893588423729,0.001984148817427922,1648,0.2,0.0004092704424510632,-0.02444193180417642,0.014276283,-42.61440289020538,0.9594168066978455,-2.9361809047619047,1257.0
105,1655,53760,32,0.1978759765625,0.08405637741088867,-2.9938295483589172e-05,0.13629937288351357,1664,0.2,0.0004092704424510632,-0.023185178550193086,0.018576855,-42.639633893966675,0.9609013795852661,-2.9361809047619047,1257.0
106,1657,54272,32,0.2181396484375,-8.549818992614746,-0.03340987488627434,0.012882862647529691,1680,0.2,0.0004092704424510632,-0.025143848353764042,0.018437713,-42.69292187690735,0.962363064289093,-2.9286510930232557,1257.0
107,1659,54784,33,0.260009765625,0.02354109287261963,0.014408089220523834,0.1689625713042915,1696,0.2,0.0004092704424510632,-0.024373881897190586,0.024794169,-42.72308611869812,0.9627029895782471,-2.9286510930232557,1257.0
108,1660,55296,33,0.239013671875,-2.1981208324432373,-0.029209207743406296,0.011377952643670142,1712,0.2,0.0004092704424510632,-0.025374965523951687,0.018053303,-42.70632255077362,0.9611809253692627,-2.9286510930232557,1257.0
109,1661,55808,33,0.2305908203125,0.1815086007118225,-0.019336508587002754,0.0032991037878673524,1728,0.2,0.0004092704424510632,-0.022576498271519085,0.019206367,-42.66001331806183,0.9602065682411194,-2.9289745227272728,1257.0
110,1662,56320,33,0.2945556640625,0.11779969930648804,-0.008986275643110275,0.0703035753685981,1744,0.2,0.0004092704424510632,-0.02547135332133621,0.042199083,-42.63094937801361,0.9591666460037231,-2.9289745227272728,1257.0
111,1662,56832,34,0.1873779296875,-8.964616775512695,-0.03449983522295952,0.008689791866345331,1760,0.2,0.0004092704424510632,-0.020558328658808023,0.015350861,-42.62069320678711,0.9595153331756592,-2.929133733333333,1257.0
112,1664,57344,34,0.24560546875,0.04680502414703369,0.007121391594409943,0.17140461830422282,1776,0.2,0.0004092704424510632,-0.026215685677016154,0.02320356,-42.612985730171204,0.9579920172691345,-2.929133733333333,1257.0
113,1665,57856,34,0.192138671875,-5.185772895812988,-0.03029627725481987,0.01046167746244464,1792,0.2,0.0004092704424510632,-0.022189433337189257,0.015989628,-42.54685139656067,0.9563080668449402,-2.9285686739130434,1257.0
114,1665,58368,35,0.2132568359375,0.10247153043746948,0.02734748274087906,0.1979258838109672,1808,0.2,0.0004092704424510632,-0.02569037236389704,0.020812707,-42.51510202884674,0.9559918642044067,-2.9285686739130434,1257.0
115,1666,58880,35,0.2596435546875,-1.8808767795562744,-0.034580279141664505,0.01213684186222963,1824,0.2,0.0004092704424510632,-0.0258942420114181,0.021116182,-42.4942284822464,0.9543969631195068,-2.9285686739130434,1257.0
