time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/value_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/std,train/loss,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
86016,1258,8,21,0.0004092704424510632,-0.02680335196782835,0.2,-43.0832861661911,0.0043207281196373515,0.018496592,0.273681640625,0.2972334027290344,0.9749417304992676,-0.03136441856622696,2672,-2.1190092647058822,1258.0
86528,1256,8,22,0.0004092704424510632,-0.016130050680658314,0.2,-43.06066191196442,0.24889562738826498,0.02257054,0.13525390625,0.3902212381362915,0.9746816754341125,-0.008758462965488434,2688,-2.1190092647058822,1258.0
87040,1255,9,23,0.0004092704424510632,-0.02921609053737484,0.2,-43.044989347457886,0.006101405859226361,0.026149968,0.2840576171875,-0.1707209348678589,0.9740523099899292,-0.036171045154333115,2704,-2.120589304347826,1258.0
87552,1254,9,24,0.0004092704424510632,-0.010713632764236536,0.2,-43.02872371673584,0.4775187484920025,0.008715216,0.0478515625,0.6010556221008301,0.9740933775901794,0.06925960630178452,2720,-2.120589304347826,1258.0
88064,1253,10,25,0.0004092704424510632,-0.02817083829722833,0.2,-43.01046431064606,0.004911620308121201,0.01745806,0.283447265625,-5.4729814529418945,0.9725654125213623,-0.03895898535847664,2736,-2.1182782571428573,1258.0
88576,1252,10,26,0.0004092704424510632,-0.009145733507466502,0.2,-42.96992075443268,0.374285553349182,0.014542709,0.052734375,0.6044425964355469,0.9725709557533264,0.04982816427946091,2752,-2.1182782571428573,1258.0
89088,1250,11,27,0.0004092704424510632,-0.022390706013538875,0.2,-42.96776866912842,0.004052483698615106,0.016404986,0.2159423828125,-2.9278390407562256,0.9714413285255432,-0.03270654380321503,2768,-2.1182782571428573,1258.0
89600,1250,11,28,0.0004092704424510632,-0.022712838603183627,0.2,-42.9296578168869,0.0038967410218901932,0.016722485,0.2130126953125,0.03971230983734131,0.9708210229873657,-0.028888924047350883,2784,-2.120096690140845,1258.0
90112,1250,11,29,0.0004092704424510632,-0.010307647622539662,0.2,-42.9257253408432,0.49250279320403934,0.011287598,0.0369873046875,0.6412523984909058,0.970695972442627,0.031797856092453,2800,-2.120096690140845,1258.0
90624,1248,12,30,0.0004092704424510632,-0.025698366021970287,0.2,-42.94266068935394,0.004012309891550103,0.01586352,0.2152099609375,-4.728764533996582,0.9722115397453308,-0.03532550856471062,2816,-2.117556430555555,1258.0
91136,1247,12,31,0.0004092704424510632,-0.010038410422566812,0.2,-42.98104643821716,0.7555284481495619,0.010057554,0.0511474609375,0.2788086533546448,0.9726800322532654,0.013846032321453094,2832,-2.117556430555555,1258.0
91648,1247,13,32,0.0004092704424510632,-0.024016319192014635,0.2,-42.97497844696045,0.00341473640219192,0.02068797,0.251708984375,-3.9285144805908203,0.9718360900878906,-0.0330926813185215,2848,-2.117556430555555,1258.0
