time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/clip_range,train/approx_kl,train/loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/learning_rate,train/std,train/policy_gradient_loss,train/value_loss,train/explained_variance,rollout/ep_len_mean,rollout/ep_rew_mean
55296,45,1221,108,0.2,0.013354532,-0.022217795252799988,0.1705322265625,-42.84648597240448,1712,0.0004092704424510632,0.9680321216583252,-0.018665917581529357,0.008501596603309736,-1.4822006225585938,1257.0,-2.4057921627906977
55808,45,1221,109,0.2,0.012268404,-0.04353718459606171,0.1566162109375,-42.8594605922699,1728,0.0004092704424510632,0.9693591594696045,-0.019329297443618998,0.0013753854400420096,0.006219387054443359,1257.0,-2.400501340909091
56320,46,1221,110,0.2,0.028944712,0.00777490995824337,0.26220703125,-42.903724908828735,1744,0.0004092704424510632,0.9704225659370422,-0.025734915645443834,0.09773538925219327,0.0010277032852172852,1257.0,-2.400501340909091
56832,46,1221,111,0.2,0.019849293,-0.03292786329984665,0.2496337890625,-42.91442537307739,1760,0.0004092704424510632,0.970426082611084,-0.02723712426086422,0.005457897605083417,0.00017315149307250977,1257.0,-2.404052711111111
57344,46,1221,112,0.2,0.023407638,0.0355738028883934,0.34130859375,-42.90932750701904,1776,0.0004092704424510632,0.9699732661247253,-0.027811591382487677,0.19643842987716198,0.00390547513961792,1257.0,-2.404052711111111
57856,47,1221,113,0.2,0.014337443,-0.03580416738986969,0.2279052734375,-42.89125657081604,1792,0.0004092704424510632,0.9693596363067627,-0.02232117076346185,0.0108538692293223,-2.424830675125122,1257.0,-2.402198
58368,47,1221,114,0.2,0.017752461,0.008228510618209839,0.260986328125,-42.864052414894104,1808,0.0004092704424510632,0.9679617881774902,-0.023522713221609592,0.1235077129676938,0.06450510025024414,1257.0,-2.402198
58880,48,1221,115,0.2,0.020258768,-0.02139880694448948,0.2379150390625,-42.83874821662903,1824,0.0004092704424510632,0.9686631560325623,-0.02179709179108613,0.0020603306002158206,-2.9781994819641113,1257.0,-2.402198
59392,48,1221,116,0.2,0.018450528,-0.023953426629304886,0.25341796875,-42.85541915893555,1840,0.0004092704424510632,0.9683884978294373,-0.0314091313193785,0.0024659899245307315,0.0002683401107788086,1257.0,-2.398022106382979
59904,49,1221,117,0.2,0.027830444,0.01575848087668419,0.2972412109375,-42.83090662956238,1856,0.0004092704424510632,0.9681048393249512,-0.028577677701832727,0.17989879590459168,0.005783438682556152,1257.0,-2.398022106382979
