time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/explained_variance,train/learning_rate,train/loss,train/clip_fraction,train/approx_kl,train/entropy_loss,train/clip_range,train/std,train/n_updates,train/policy_gradient_loss,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean
171008,10,1974,40,-2.513171672821045,0.0004092704424510632,-0.039055611938238144,0.24853515625,0.017701201,-43.22925043106079,0.2,0.9837830066680908,5328,-0.023848025179177057,0.0049393664485251065,1258.0,-2.21086622
171520,10,1973,41,0.07928252220153809,0.0004092704424510632,-0.03774213790893555,0.2376708984375,0.016945548,-43.21204435825348,0.2,0.9840778112411499,5344,-0.025416218006284907,0.005959535745205358,1258.0,-2.2116971100000002
172032,10,1974,42,0.4834058880805969,0.0004092704424510632,0.0455731563270092,0.0771484375,0.013534542,-43.22256124019623,0.2,0.9842790365219116,5360,-0.014779667486436665,0.48978723771870136,1258.0,-2.2116971100000002
172544,11,1971,43,-8.06155014038086,0.0004092704424510632,-0.03140361234545708,0.21875,0.017411903,-43.21734595298767,0.2,0.9836642146110535,5376,-0.02222561981761828,0.021457081398693845,1258.0,-2.20829927
173056,11,1969,44,0.31194955110549927,0.0004092704424510632,0.13607147336006165,0.053466796875,0.011576464,-43.1869500875473,0.2,0.9833030104637146,5392,-0.008325307469931431,0.8434081110171974,1258.0,-2.20829927
173568,11,1969,45,-0.7049973011016846,0.0004092704424510632,-0.039290156215429306,0.3018798828125,0.024575615,-43.21675169467926,0.2,0.9863917231559753,5408,-0.03332574394880794,0.005656743989675306,1258.0,-2.20829927
174080,11,1967,46,0.49535226821899414,0.0004092704424510632,-0.0016836225986480713,0.210205078125,0.017353872,-43.30396771430969,0.2,0.9882165789604187,5424,-0.0231892881274689,0.08169775421265513,1258.0,-2.20687477
174592,12,1965,47,0.871356189250946,0.0004092704424510632,-0.02082888036966324,0.1591796875,0.025854997,-43.33173191547394,0.2,0.9882686734199524,5440,-0.021770695093437098,0.15825115179177374,1258.0,-2.20687477
175104,12,1964,48,-5.64442777633667,0.0004092704424510632,-0.044958047568798065,0.28759765625,0.020203484,-43.3206250667572,0.2,0.9878333806991577,5456,-0.03235325319110416,0.009160041227005422,1258.0,-2.2052786399999995
175616,12,1962,49,0.35038280487060547,0.0004092704424510632,0.0628959983587265,0.072021484375,0.008677999,-43.32024049758911,0.2,0.9874616265296936,5472,-0.00867871985246893,0.6371931086760014,1258.0,-2.2052786399999995
176128,13,1961,50,-1.9064579010009766,0.0004092704424510632,-0.03727889060974121,0.3277587890625,0.028011493,-43.326655864715576,0.2,0.9885983467102051,5488,-0.03367630869615823,0.00509493538265815,1258.0,-2.2044014
176640,13,1962,51,0.2585204839706421,0.0004092704424510632,0.10846932977437973,0.0433349609375,0.012524793,-43.35667181015015,0.2,0.9889811873435974,5504,-0.007583337253890932,0.7751625142991543,1258.0,-2.2044014
177152,13,1961,52,-7.1252946853637695,0.0004092704424510632,-0.03884711116552353,0.2864990234375,0.02418917,-43.36397635936737,0.2,0.9892870783805847,5520,-0.028162093978608027,0.004161939290497685,1258.0,-2.2044014
177664,13,1960,53,0.011774539947509766,0.0004092704424510632,-0.03678816556930542,0.257080078125,0.019500593,-43.379507064819336,0.2,0.9901928901672363,5536,-0.023666108725592494,0.00526869302848354,1258.0,-2.20124174
178176,14,1960,54,0.4345386028289795,0.0004092704424510632,0.18173858523368835,0.0787353515625,0.012713019,-43.406009912490845,0.2,0.9905479550361633,5552,-0.01082365695037879,0.6490479039493948,1258.0,-2.20124174
178688,14,1959,55,-8.976171493530273,0.0004092704424510632,-0.03900451213121414,0.218994140625,0.017903455,-43.399463415145874,0.2,0.9903049468994141,5568,-0.025439725228352472,0.015885236323811114,1258.0,-2.1959232
179200,14,1959,56,0.37474948167800903,0.0004092704424510632,0.10070957988500595,0.042724609375,0.0096731465,-43.39457154273987,0.2,0.9901842474937439,5584,-0.008085021894657984,0.9301559049636126,1258.0,-2.1959232
179712,14,1958,57,-0.4277397394180298,0.0004092704424510632,-0.03722348064184189,0.2738037109375,0.022916064,-43.374724984169006,0.2,0.9892562031745911,5600,-0.028977526468224823,0.005696869644452818,1258.0,-2.1959232
180224,15,1958,58,-0.03095245361328125,0.0004092704424510632,-0.04243319481611252,0.3106689453125,0.023695827,-43.364429116249084,0.2,0.9897852540016174,5616,-0.030290803173556924,0.004599506479280535,1258.0,-2.19308073
180736,15,1957,59,0.5297938585281372,0.0004092704424510632,0.08101382851600647,0.0576171875,0.012609449,-43.39205706119537,0.2,0.9901939034461975,5632,-0.014201041776686907,0.624267550650984,1258.0,-2.19308073
181248,15,1957,60,-6.670873165130615,0.0004092704424510632,-0.03765717148780823,0.2901611328125,0.022071715,-43.42021656036377,0.2,0.9924021363258362,5648,-0.03132862597703934,0.01229800826695282,1258.0,-2.19288983
181760,15,1956,61,0.29517894983291626,0.0004092704424510632,0.044492028653621674,0.02392578125,0.008355441,-43.4784129858017,0.2,0.9933006167411804,5664,-0.006352835946017876,0.8719998081214726,1258.0,-2.19288983
182272,16,1955,62,-2.4587714672088623,0.0004092704424510632,-0.034133221954107285,0.265869140625,0.030346498,-43.492565274238586,0.2,0.9940621852874756,5680,-0.023102998384274542,0.00767598034144612,1258.0,-2.19288983
182784,16,1956,63,0.048346519470214844,0.0004092704424510632,-0.03210407868027687,0.2164306640625,0.015062818,-43.49732327461243,0.2,0.9926362633705139,5696,-0.025414330913918093,0.0047497612904408015,1258.0,-2.19059567
183296,16,1956,64,0.5469713807106018,0.0004092704424510632,0.07358889281749725,0.02490234375,0.00812063,-43.44058048725128,0.2,0.9915087819099426,5712,-0.007254059848492034,0.5876664067618549,1258.0,-2.19059567
