time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/entropy_loss,train/loss,train/std,train/explained_variance,train/learning_rate,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
177664,15,1716,53,-42.288297057151794,-0.049633197486400604,0.9534367322921753,0.5907870531082153,0.0004092704424510632,0.014871677,0.004080759565113112,-0.024546818545786664,0.2080078125,0.2,5536,-2.16602754,1258.0
178176,16,1716,54,-42.18256723880768,0.2946029007434845,0.9518588185310364,0.6968944072723389,0.0004092704424510632,0.004288306,1.1884460048750043,-0.005097373745229561,0.0084228515625,0.2,5552,-2.16602754,1258.0
178688,16,1715,55,-42.1654669046402,-0.01392589882016182,0.9514191150665283,0.5483203530311584,0.0004092704424510632,0.01658687,0.023001229914370924,-0.024212157979491167,0.2218017578125,0.2,5568,-2.16544427,1258.0
179200,16,1715,56,-42.16007602214813,0.10912740975618362,0.9512364864349365,0.5318962931632996,0.0004092704424510632,0.0061199344,1.0647370698861778,-0.0029616642859764397,0.019775390625,0.2,5584,-2.16544427,1258.0
179712,17,1715,57,-42.14791393280029,-0.051586080342531204,0.9504043459892273,-3.115844249725342,0.0004092704424510632,0.02173734,0.0025013853955897503,-0.035083606955595315,0.2872314453125,0.2,5600,-2.16544427,1258.0
180224,17,1715,58,-42.1235054731369,-0.032753024250268936,0.9496575593948364,0.6800209283828735,0.0004092704424510632,0.021509321,0.029492143483366817,-0.02961572944332147,0.2939453125,0.2,5616,-2.16335311,1258.0
180736,17,1715,59,-42.10372984409332,0.1165761724114418,0.9494714140892029,0.6006245613098145,0.0004092704424510632,0.004262143,1.3469833880662918,-0.004875626298598945,0.00390625,0.2,5632,-2.16335311,1258.0
181248,17,1714,60,-42.09461987018585,-0.04879312217235565,0.9487250447273254,0.6842435598373413,0.0004092704424510632,0.02041012,0.017491362610599026,-0.025846311851637438,0.25830078125,0.2,5648,-2.162734,1258.0
181760,18,1714,61,-42.07190728187561,0.11760257184505463,0.9483551383018494,0.7519820928573608,0.0004092704424510632,0.012450933,0.8026440921239555,-0.011836669553304091,0.0455322265625,0.2,5664,-2.162734,1258.0
182272,18,1714,62,-42.048330664634705,-0.03514755144715309,0.9470832347869873,0.18034565448760986,0.0004092704424510632,0.019584268,0.0028397337991918903,-0.024690902093425393,0.2750244140625,0.2,5680,-2.162734,1258.0
182784,18,1714,63,-42.010114669799805,0.027216628193855286,0.9468952417373657,0.8673188090324402,0.0004092704424510632,0.019620892,0.09934390604030341,-0.021328489092411473,0.165283203125,0.2,5696,-2.1632737100000003,1258.0
183296,19,1714,64,-42.00927245616913,0.06144661828875542,0.9468337297439575,0.7624199986457825,0.0004092704424510632,0.0034726192,0.8326186649501324,-0.004962223152688239,0.0009765625,0.2,5712,-2.1632737100000003,1258.0
183808,19,1713,65,-42.0322380065918,-0.028309771791100502,0.949109673500061,0.3066496253013611,0.0004092704424510632,0.028328111,0.023021668836008757,-0.03211619660578435,0.3262939453125,0.2,5728,-2.1638153,1258.0
184320,19,1713,66,-42.10544669628143,0.10681772977113724,0.95009845495224,0.7314267754554749,0.0004092704424510632,0.007994476,0.8171885958872736,-0.009326851519290358,0.0242919921875,0.2,5744,-2.1638153,1258.0
184832,20,1713,67,-42.087658047676086,-0.041278623044490814,0.948056161403656,0.29801058769226074,0.0004092704424510632,0.02178762,0.00697865778056439,-0.032509522745385766,0.303466796875,0.2,5760,-2.1638153,1258.0
185344,20,1713,68,-42.02285182476044,0.0407194159924984,0.9472211003303528,0.9082886576652527,0.0004092704424510632,0.02170635,0.1368169062770903,-0.020413015270605683,0.161376953125,0.2,5776,-2.1631855399999997,1258.0
185856,20,1713,69,-42.01253414154053,0.1173628717660904,0.9470798373222351,0.8191975355148315,0.0004092704424510632,0.0141130835,0.5263364571146667,-0.016512921720277518,0.04736328125,0.2,5792,-2.1631855399999997,1258.0
186368,20,1712,70,-42.03180813789368,-0.023051409050822258,0.9489137530326843,0.6390889883041382,0.0004092704424510632,0.017129492,0.027165770530700684,-0.027825566852698103,0.278564453125,0.2,5808,-2.1622691699999996,1258.0
186880,21,1712,71,-42.0780086517334,0.14232178032398224,0.9495928287506104,0.7754644155502319,0.0004092704424510632,0.014424417,0.6522551812231541,-0.007093539526977111,0.05810546875,0.2,5824,-2.1622691699999996,1258.0
187392,21,1712,72,-42.09178864955902,-0.01801205798983574,0.9503344893455505,-0.5175048112869263,0.0004092704424510632,0.023245966,0.0037760710911243223,-0.020978276676032692,0.2777099609375,0.2,5840,-2.1622691699999996,1258.0
