time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/n_updates,train/value_loss,train/entropy_loss,train/std,train/approx_kl,train/explained_variance,train/clip_fraction,train/loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
46080,37,1228,90,1424,0.06034628034103662,-43.2247257232666,0.978735089302063,0.02206872,0.17210042476654053,0.1832275390625,-0.007174195721745491,0.2,-0.02103440281643998,0.0004092704424510632,1257.0,-2.355369083333333
46592,37,1228,91,1440,0.006827235214586835,-43.26713705062866,0.9805546402931213,0.01123109,-3.638254165649414,0.1829833984375,-0.018397925421595573,0.2,-0.019941130245570093,0.0004092704424510632,1257.0,-2.3540650270270267
47104,38,1228,92,1456,0.06218030326999724,-43.304234743118286,0.9805048108100891,0.01941,0.15152817964553833,0.1981201171875,-0.01909700781106949,0.2,-0.02162216265423922,0.0004092704424510632,1257.0,-2.3540650270270267
47616,38,1228,93,1472,0.0028840811755799223,-43.28025794029236,0.9794525504112244,0.015171824,-2.682270050048828,0.25830078125,-0.03317677229642868,0.2,-0.025882511006784625,0.0004092704424510632,1257.0,-2.3540650270270267
48128,39,1228,94,1488,0.0024601539626019076,-43.24988627433777,0.9788908958435059,0.020720884,-0.21058297157287598,0.261474609375,-0.03868049383163452,0.2,-0.027359660671208985,0.0004092704424510632,1257.0,-2.3531712105263156
48640,39,1228,95,1504,0.059371247538365424,-43.24881839752197,0.9790804386138916,0.025025021,0.19932544231414795,0.2137451171875,-0.028414085507392883,0.2,-0.028480912296799943,0.0004092704424510632,1257.0,-2.3531712105263156
49152,40,1228,96,1520,0.008807934806100093,-43.26201546192169,0.9802188277244568,0.01297945,-3.601411819458008,0.1964111328125,-0.027241546660661697,0.2,-0.022264342282142024,0.0004092704424510632,1257.0,-2.354055333333333
49664,40,1228,97,1536,0.06196152855409309,-43.29564690589905,0.9801903367042542,0.018935865,0.15492743253707886,0.184326171875,-0.024418916553258896,0.2,-0.023249068966833875,0.0004092704424510632,1257.0,-2.354055333333333
50176,40,1228,98,1552,0.006824229159974493,-43.27529764175415,0.9792912006378174,0.016016494,0.0028572678565979004,0.2236328125,-0.033782992511987686,0.2,-0.024353509914362803,0.0004092704424510632,1257.0,-2.354055333333333
50688,41,1228,99,1568,0.003339509421493858,-43.25839555263519,0.9796563982963562,0.012919854,-1.1004588603973389,0.166259765625,-0.022868311032652855,0.2,-0.017434802692150697,0.0004092704424510632,1257.0,-2.3552840250000004
51200,41,1227,100,1584,0.05406088783638552,-43.27798902988434,0.9801586866378784,0.019576859,0.24528884887695312,0.1593017578125,-0.019861437380313873,0.2,-0.021355132848839276,0.0004092704424510632,1257.0,-2.3552840250000004
51712,42,1227,101,1600,0.006623630048125051,-43.298344016075134,0.9817550182342529,0.017268896,-3.2623729705810547,0.2119140625,-0.02900432050228119,0.2,-0.02379775971348863,0.0004092704424510632,1257.0,-2.352042609756098
52224,42,1227,102,1616,0.055902012216392905,-43.34241318702698,0.9819841980934143,0.013089924,0.3134673833847046,0.1104736328125,-0.0033235177397727966,0.2,-0.014260338881285861,0.0004092704424510632,1257.0,-2.352042609756098
52736,42,1227,103,1632,0.011000883969245479,-43.34516358375549,0.9826975464820862,0.014766945,0.03082329034805298,0.22314453125,-0.029056014493107796,0.2,-0.02591132078669034,0.0004092704424510632,1257.0,-2.352042609756098
53248,43,1227,104,1648,0.0072582669235998765,-43.3443249464035,0.9804942607879639,0.020306552,0.4283111095428467,0.2515869140625,-0.03297657147049904,0.2,-0.028978289949009195,0.0004092704424510632,1257.0,-2.3521639523809528
53760,43,1227,105,1664,0.036812071630265564,-43.2805141210556,0.9792580008506775,0.021418724,0.698783278465271,0.181884765625,-0.006279880180954933,0.2,-0.018495067139156163,0.0004092704424510632,1257.0,-2.3521639523809528
54272,44,1227,106,1680,0.00934558451990597,-43.24934256076813,0.978571355342865,0.020693444,-1.82444429397583,0.257080078125,-0.03461369499564171,0.2,-0.02632432634709403,0.0004092704424510632,1257.0,-2.3527863023255815
54784,44,1227,107,1696,0.05166498536709696,-43.2198680639267,0.9775530695915222,0.018013861,0.59708571434021,0.1322021484375,-0.017604347318410873,0.2,-0.01981298158352729,0.0004092704424510632,1257.0,-2.3527863023255815
55296,45,1227,108,1712,0.011074933936470188,-43.20595097541809,0.9781043529510498,0.016819248,-0.5117348432540894,0.205078125,-0.022949323058128357,0.2,-0.022574730290216394,0.0004092704424510632,1257.0,-2.3527863023255815
55808,45,1226,109,1728,0.04857329640071839,-43.21838986873627,0.9778808951377869,0.018064013,0.6795693635940552,0.173583984375,-0.014854496344923973,0.2,-0.02196334404288791,0.0004092704424510632,1257.0,-2.355190090909091
56320,45,1226,110,1744,0.012263665645150468,-43.199185252189636,0.977556049823761,0.022677153,0.8882503509521484,0.260986328125,-0.04911908507347107,0.2,-0.026847272587474436,0.0004092704424510632,1257.0,-2.355190090909091
56832,46,1226,111,1760,0.007434019324136898,-43.19479429721832,0.9773269891738892,0.022016723,-1.184798240661621,0.260009765625,-0.03401591256260872,0.2,-0.02703441379708238,0.0004092704424510632,1257.0,-2.3510961333333333
57344,46,1226,112,1776,0.04314126988174394,-43.197494864463806,0.9777830243110657,0.022233667,0.6725022792816162,0.146484375,-0.017197096720337868,0.2,-0.01909690027241595,0.0004092704424510632,1257.0,-2.3510961333333333
57856,47,1226,113,1792,0.015900084137683734,-43.21442747116089,0.9780434966087341,0.014802101,-1.3925604820251465,0.182373046875,-0.028738293796777725,0.2,-0.020412374768056907,0.0004092704424510632,1257.0,-2.349241413043478
